blockingBugId,dependentBugId,overlap_readOnly,overlap_writeSet,overlap_wBrD,overlap_wDrB,b_ArtR,b_ArtW,b_Ronly,d_ArtR,d_ArtW,d_Ronly
207874,205861,0,0,0,0,4,4,0,4,2,2
204721,208089,0,1,0,0,11,5,6,28,16,12
204762,208089,0,1,0,0,17,14,3,28,16,12
152869,169426,0,1,1,0,32,6,26,66,28,38
172264,167362,0,0,1,0,22,8,14,461,3,458
183593,165732,1,3,0,1,28,9,19,54,42,12
187880,187154,1,1,1,0,21,14,7,80,25,55
192485,177208,0,0,0,0,9,2,7,7,1,6
161646,169426,2,6,3,0,705,23,682,66,28,38
190944,193156,0,1,0,0,9,5,4,8,6,2
197181,195079,0,2,1,2,32,18,14,62,23,39
197406,196909,1,2,0,0,3,2,1,85,43,43
197181,197513,0,0,0,0,32,18,14,12,5,7
187156,202279,1,1,0,0,21,8,13,17,4,13
191793,202547,2,0,0,0,89,22,67,134,3,131
186379,202834,0,3,0,1,12,10,2,4,4,0
202879,165072,0,2,1,0,33,20,13,13,6,7
201464,196700,2,4,0,4,11,4,7,2273,45,2228
209402,169426,0,3,1,1,647,26,621,66,28,38
210163,205861,0,0,0,0,3,2,1,4,2,2
209892,169426,0,2,1,0,26,15,11,66,28,38
208629,179254,0,2,1,0,3,3,0,82,50,32
210170,189313,0,1,0,0,1,1,0,3,2,1
210186,205861,0,1,0,0,8,4,4,4,2,2
210022,169426,0,2,0,0,8,5,3,66,28,38
210332,208819,0,2,0,0,4,2,2,4,2,2
196056,205708,0,2,1,0,50,20,30,5,4,1
186733,205861,0,0,0,0,27,5,22,4,2,2
189313,205861,0,1,0,0,3,2,1,4,2,2
206204,120499,1,10,0,0,72,17,55,23,15,8
207524,169426,0,0,0,0,11,4,7,66,28,38
207598,205861,0,1,0,0,5,2,3,4,2,2
207654,200634,6,0,0,1,42,8,34,90,35,55
207521,200634,1,5,2,3,46,27,19,90,35,55
210800,206566,0,0,1,0,7,6,1,40,9,31
202880,211012,0,1,0,0,7,3,4,19,15,4
212352,213110,0,0,0,1,1,0,1,11,8,3
210624,208089,0,1,0,0,2,1,1,28,16,12
207527,200634,3,2,0,2,38,17,21,90,35,55
210801,213228,0,0,0,0,1,1,0,2,2,0
207531,200634,1,1,1,0,36,20,16,90,35,55
210801,216060,0,0,0,0,1,1,0,6,3,3
210483,200634,2,4,2,2,64,31,33,90,35,55
217008,168377,0,1,1,3,12,8,4,24,12,12
215944,143011,0,3,2,0,69,31,39,119,66,53
217694,205861,0,2,0,0,8,5,3,4,2,2
191793,217725,0,0,0,1,89,22,67,23,3,20
212967,217530,0,3,0,0,51,24,27,10,8,2
217733,206566,0,1,1,0,5,4,1,40,9,31
218722,214134,0,7,0,0,18,14,4,7,7,0
217857,188524,0,1,0,0,3,3,0,135,48,87
219911,166595,0,1,0,0,6,6,0,31,22,9
218722,179254,0,3,1,0,18,14,4,82,50,32
221628,212962,0,1,0,0,1,1,0,125,53,74
220688,143011,0,0,1,0,1,1,0,119,66,53
220435,226822,0,0,0,0,1,1,0,25,3,22
224780,217725,19,0,1,0,229,35,194,23,3,20
211641,226822,1,0,0,0,55,32,23,25,3,22
220436,205861,0,1,0,0,66,39,27,4,2,2
222833,226822,2,0,0,0,86,30,57,25,3,22
233999,177208,0,0,0,0,2,2,0,7,1,6
212967,231336,2,8,0,1,51,24,27,37,20,17
211441,239667,0,0,3,0,39,19,20,3,0,3
231336,216150,2,10,1,0,37,20,17,44,24,20
234044,211096,0,4,0,1,22,17,5,18,15,3
240441,239087,1,3,0,2,6,3,3,71,24,47
219241,244553,0,1,0,0,5,1,4,12,10,2
240442,239087,2,5,0,0,8,5,3,71,24,47
166595,244553,0,0,0,0,31,22,9,12,10,2
247388,238302,0,1,0,0,3,1,2,3,2,1
244352,239087,0,2,0,0,3,2,1,71,24,47
244442,167941,0,5,1,1,15,9,6,37,27,10
229014,176212,0,2,0,0,53,11,42,3,2,1
247220,246260,0,3,0,0,21,11,10,12,12,0
226851,246260,0,6,0,2,74,37,37,12,12,0
252297,246260,0,3,0,2,15,10,5,12,12,0
248800,244442,0,0,0,0,2,1,1,15,9,6
253115,235439,0,1,0,2,32,7,25,6,5,1
204711,248364,0,0,1,0,17,11,6,34,11,23
248801,244442,0,0,0,1,3,0,3,15,9,6
254695,252297,0,2,1,0,3,3,0,15,10,5
226214,248364,0,1,1,0,5,5,0,34,11,23
254150,253578,0,1,0,0,91,52,39,2,2,0
244579,245187,0,4,2,0,114,28,86,28,16,12
256794,239667,0,0,0,0,4,3,1,3,0,3
262107,261683,0,1,0,1,3,1,2,6,5,1
262610,211012,0,0,0,0,3,2,1,19,15,4
235488,248364,2,1,1,0,36,18,18,34,11,23
260213,246387,0,0,0,0,14,2,12,80,9,71
264612,264503,0,5,1,0,22,19,3,9,8,1
269323,271019,0,0,0,0,3,3,0,1,1,0
265688,255588,0,4,0,0,8,4,4,24,18,6
269896,271019,0,0,0,0,6,3,4,1,1,0
265682,264612,0,0,0,0,1,1,0,22,19,3
220314,249021,1,2,1,0,114,38,77,18,8,10
260963,166595,0,2,1,0,10,10,0,31,22,9
238039,235011,5,10,2,4,38,16,22,191,106,85
272626,272621,0,0,1,0,1,1,0,80,17,63
269854,271019,0,0,0,0,7,4,3,1,1,0
254697,226851,0,3,0,1,4,3,1,74,37,37
275513,272621,0,1,0,1,11,1,10,80,17,63
272383,211096,0,1,0,0,3,2,1,18,15,3
275777,272621,0,1,0,0,5,1,4,80,17,63
276213,272621,1,1,1,1,12,5,7,80,17,63
276230,272621,1,2,0,0,4,3,1,80,17,63
276581,205861,0,1,0,0,5,4,1,4,2,2
276231,272621,0,3,2,0,18,15,3,80,17,63
276217,272621,1,2,1,0,8,3,5,80,17,63
276233,272621,2,1,0,0,5,2,3,80,17,63
277191,272621,0,1,0,0,5,2,3,80,17,63
277160,272621,0,2,1,0,14,10,4,80,17,63
277194,272621,1,1,0,1,3,1,2,80,17,63
244353,239087,0,5,0,1,16,9,7,71,24,47
277595,272388,0,1,0,0,1,1,0,4,3,1
275029,272621,0,1,0,1,2,1,1,80,17,63
277344,272621,0,0,1,0,1,1,0,80,17,63
275204,272621,1,2,3,2,55,9,46,80,17,63
276232,272621,0,3,1,0,10,8,2,80,17,63
277889,272621,0,2,3,0,8,6,2,80,17,63
277910,272621,0,2,0,0,2,2,0,80,17,63
278315,272621,0,0,4,1,17,9,8,80,17,63
276940,276232,0,1,0,0,2,2,0,10,8,2
264900,280807,0,0,0,0,4,2,2,6,4,2
256045,242480,0,5,1,1,7,6,1,107,64,43
278872,272621,0,0,0,0,5,3,2,80,17,63
287895,287832,0,0,0,0,4,3,1,8,8,0
301756,178474,1,6,0,2,26,11,15,55,30,25
291685,283445,0,1,0,0,2,2,0,9,7,2
244653,235439,1,2,0,1,106,26,80,6,5,1
292320,283445,0,0,1,0,1,1,0,9,7,2
279544,272621,2,2,3,0,21,10,12,80,17,63
244380,244353,0,1,0,0,2,1,1,16,9,7
287832,279334,0,2,1,0,8,8,0,15,13,2
292975,301068,0,1,0,0,2,2,0,2,2,0
244653,242445,1,1,0,0,106,26,80,37,8,29
304171,294957,0,1,0,0,6,4,2,14,5,9
263814,300872,0,3,0,0,6,5,1,7,4,3
308561,306063,0,1,1,0,4,3,1,7,4,3
311833,286419,0,0,0,0,7,2,5,2,2,0
276942,276232,0,1,0,0,6,4,2,10,8,2
301756,164221,0,1,0,1,26,11,15,6,4,2
393640,386344,0,3,0,0,5,5,0,243,85,158
244653,247388,0,0,0,0,106,26,80,3,1,2
310875,302654,0,0,2,4,20,10,10,36,26,10
394051,386344,1,2,0,0,17,9,8,243,85,158
196517,286286,0,1,1,1,3,2,1,27,21,7
270722,286286,0,4,0,1,5,4,1,27,21,7
219694,286286,0,2,1,0,5,5,0,27,21,7
255430,290490,0,1,0,0,3,2,1,22,11,11
290599,290490,0,1,3,0,7,5,2,22,11,11
303531,199345,1,5,0,2,10,7,3,328,98,230
303411,199345,0,2,1,0,4,4,0,328,98,230
303413,199345,1,1,1,1,4,2,2,328,98,230
303431,199345,3,5,0,0,10,5,5,328,98,230
244359,238038,0,13,1,3,39,27,12,98,61,38
244371,238038,0,0,0,0,2,0,2,98,61,38
244475,238038,0,2,0,0,2,2,0,98,61,38
247736,238038,0,2,0,2,4,2,2,98,61,38
248057,238038,0,1,0,0,23,4,19,98,61,38
247745,238038,0,4,0,2,19,10,9,98,61,38
